,name,city,country,surface,code,start_date,end_date,season,country_code
1002,Brisbane International,Brisbane,Australia,Outdoor Hard,ATP,2018-12-31,2019-01-06,2019,AUS
1001,Qatar ExxonMobil Open,Doha,Qatar,Outdoor Hard,ATP,2018-12-31,2019-01-05,2019,QAT
1003,Tata Open Maharashtra,Pune,India,Outdoor Hard,ATP,2018-12-31,2019-01-05,2019,IND
1004,Sydney International,Sydney,Australia,Outdoor Hard,ATP,2019-01-06,2019-01-12,2019,AUS
1005,ASB Classic,Auckland,New Zealand,Outdoor Hard,ATP,2019-01-07,2019-01-12,2019,NZL
1006,Australian Open,Melbourne,Australia,Outdoor Hard,ATP,2019-01-14,2019-01-27,2019,AUS
1008,Cordoba Open,Cordoba,Argentina,Outdoor Clay,ATP,2019-02-04,2019-02-10,2019,ARG
1009,Open Sud de France,Montpellier,France,Indoor Hard,ATP,2019-02-04,2019-02-10,2019,FRA
1010,Sofia Open,Sofia,Bulgaria,Indoor Hard,ATP,2019-02-04,2019-02-10,2019,BGR
1011,ABN AMRO World Tennis Tournament,Rotterdam,Netherlands,Indoor Hard,ATP,2019-02-11,2019-02-17,2019,NLD
1012,New York Open,New York,NY,Indoor Hard,ATP,2019-02-11,2019-02-17,2019,False
1013,Argentina Open,Buenos Aires,Argentina,Outdoor Clay,ATP,2019-02-11,2019-02-17,2019,ARG
1014,Rio Open presented by Claro,Rio de Janeiro,Brazil,Outdoor Clay,ATP,2019-02-18,2019-02-24,2019,BRA
1015,Open 13 Provence,Marseille,France,Indoor Hard,ATP,2019-02-18,2019-02-24,2019,FRA
1016,Delray Beach Open by VITACOST.com,Delray Beach,USA,Outdoor Hard,ATP,2019-02-18,2019-02-24,2019,USA
1019,Brasil Open,Sao Paulo,Brazil,Indoor Clay,ATP,2019-02-25,2019-03-03,2019,BRA
1017,Dubai Duty Free Tennis Championships,Dubai,U.A.E.,Outdoor Hard,ATP,2019-02-25,2019-03-02,2019,False
1018,Abierto Mexicano Telcel presentado por HSBC,Acapulco,Mexico,Outdoor Hard,ATP,2019-02-25,2019-03-02,2019,MEX
1020,BNP Paribas Open,Indian Wells,USA,Outdoor Hard,ATP,2019-03-07,2019-03-17,2019,USA
1021,Miami Open presented by Itau,Miami,USA,Outdoor Hard,ATP,2019-03-20,2019-03-31,2019,USA
1023,Fayez Sarofim & Co. U.S. Men's Clay Court Championship,Houston,USA,Outdoor Clay,ATP,2019-04-08,2019-04-14,2019,USA
1024,Grand Prix Hassan II,Marrakech,Morocco,Outdoor Clay,ATP,2019-04-08,2019-04-14,2019,MAR
1025,Rolex Monte-Carlo Masters,Monte Carlo,Monaco,Outdoor Clay,ATP,2019-04-14,2019-04-21,2019,MCO
1027,Hungarian Open,Budapest,Hungary,Outdoor Clay,ATP,2019-04-22,2019-04-28,2019,HUN
1026,Barcelona Open Banc Sabadell,Barcelona,Spain,Outdoor Clay,ATP,2019-04-22,2019-04-28,2019,ESP
1028,BMW Open by FWU,Munich,Germany,Outdoor Clay,ATP,2019-04-29,2019-05-05,2019,DEU
1029,Millennium Estoril Open,Estoril,Portugal,Outdoor Clay,ATP,2019-04-29,2019-05-05,2019,PRT
1030,Mutua Madrid Open,Madrid,Spain,Outdoor Clay,ATP,2019-05-05,2019-05-12,2019,ESP
1031,Internazionali BNL d'Italia,Rome,Italy,Outdoor Clay,ATP,2019-05-12,2019-05-19,2019,ITA
1032,Banque Eric Sturdza Geneva Open,Geneva,Switzerland,Outdoor Clay,ATP,2019-05-19,2019-05-25,2019,CHE
1033,Open Parc Auvergne-Rhone-Alpes Lyon,Lyon,France,Outdoor Clay,ATP,2019-05-19,2019-05-25,2019,FRA
1034,Roland Garros,Paris,France,Outdoor Clay,ATP,2019-05-26,2019-06-09,2019,FRA
1036,Libema Open,s-Hertogenbosch,Netherlands,Outdoor Grass,ATP,2019-06-10,2019-06-16,2019,NLD
1035,MercedesCup,Stuttgart,Germany,Outdoor Grass,ATP,2019-06-10,2019-06-16,2019,DEU
1037,Fever-Tree Championships,London,Great Britain,Outdoor Grass,ATP,2019-06-17,2019-06-23,2019,False
1038,NOVENTI OPEN,Halle,Germany,Outdoor Grass,ATP,2019-06-17,2019-06-23,2019,DEU
1039,Turkish Airlines Open Antalya,Antalya,Turkey,Outdoor Grass,ATP,2019-06-23,2019-06-29,2019,TUR
1040,Nature Valley International,Eastbourne,Great Britain,Outdoor Grass,ATP,2019-06-24,2019-06-29,2019,False
1041,Wimbledon,London,Great Britain,Outdoor Grass,ATP,2019-07-01,2019-07-14,2019,False
1042,Hall of Fame Open,Newport,USA,Outdoor Grass,ATP,2019-07-14,2019-07-21,2019,USA
1043,Plava Laguna Croatia Open Umag,Umag,Croatia,Outdoor Clay,ATP,2019-07-15,2019-07-21,2019,HRV
1044,Nordea Open,Bastad,Sweden,Outdoor Clay,ATP,2019-07-15,2019-07-21,2019,SWE
1045,Hamburg European Open,Hamburg,Germany,Outdoor Clay,ATP,2019-07-22,2019-07-28,2019,DEU
1046,BB&T Atlanta Open,Atlanta,USA,Outdoor Hard,ATP,2019-07-22,2019-07-28,2019,USA
1047,J. Safra Sarasin Swiss Open Gstaad,Gstaad,Switzerland,Outdoor Clay,ATP,2019-07-22,2019-07-28,2019,CHE
1048,Citi Open,Washington,USA,Outdoor Hard,ATP,2019-07-27,2019-08-04,2019,USA
1049,Abierto de Tenis Mifel presentado por Cinemex,Los Cabos,Mexico,Outdoor Hard,ATP,2019-07-29,2019-08-03,2019,MEX
1050,Generali Open,Kitzbuhel,Austria,Outdoor Clay,ATP,2019-07-29,2019-08-03,2019,AUT
1051,Coupe Rogers,Montreal,Canada,Outdoor Hard,ATP,2019-08-05,2019-08-11,2019,CAN
1052,Western & Southern Open,Cincinnati,USA,Outdoor Hard,ATP,2019-08-11,2019-08-18,2019,USA
1053,Winston-Salem Open,Winston-Salem,USA,Outdoor Hard,ATP,2019-08-18,2019-08-24,2019,USA
1054,US Open,New York,USA,Outdoor Hard,ATP,2019-08-26,2019-09-08,2019,USA
1056,St. Petersburg Open,St. Petersburg,Russia,Indoor Hard,ATP,2019-09-15,2019-09-22,2019,False
1057,Moselle Open,Metz,France,Indoor Hard,ATP,2019-09-15,2019-09-22,2019,FRA
1058,Chengdu Open,Chengdu,China,Outdoor Hard,ATP,2019-09-23,2019-09-29,2019,CHN
1059,Huajin Securities Zhuhai Championships,Zhuhai,China,Outdoor Hard,ATP,2019-09-23,2019-09-29,2019,CHN
1060,China Open,Beijing,China,Outdoor Hard,ATP,2019-09-30,2019-10-06,2019,CHN
1061,Rakuten Japan Open Tennis Championships,Tokyo,Japan,Outdoor Hard,ATP,2019-09-30,2019-10-06,2019,JPN
1062,Rolex Shanghai Masters,Shanghai,China,Outdoor Hard,ATP,2019-10-06,2019-10-13,2019,CHN
1063,VTB Kremlin Cup,Moscow,Russia,Indoor Hard,ATP,2019-10-14,2019-10-20,2019,False
1064,European Open,Antwerp,Belgium,Indoor Hard,ATP,2019-10-14,2019-10-20,2019,BEL
1065,Stockholm Open,Stockholm,Sweden,Indoor Hard,ATP,2019-10-14,2019-10-20,2019,SWE
1066,Erste Bank Open,Vienna,Austria,Indoor Hard,ATP,2019-10-21,2019-10-27,2019,AUT
1067,Swiss Indoors Basel,Basel,Switzerland,Indoor Hard,ATP,2019-10-21,2019-10-27,2019,CHE
1068,Rolex Paris Masters,Paris,France,Indoor Hard,ATP,2019-10-28,2019-11-03,2019,FRA
1069,Next Gen ATP Finals,Milan,Italy,Indoor Hard,ATP,2019-11-05,2019-11-09,2019,ITA
1070,Nitto ATP Finals,London,Great Britain,Indoor Hard,ATP,2019-11-10,2019-11-17,2019,False
1143,Qatar ExxonMobil Open,Doha,Qatar,Outdoor Hard,ATP,2020-01-06,2020-01-11,2020,QAT
1144,Adelaide International,Adelaide,Australia,Outdoor Hard,ATP,2020-01-12,2020-01-18,2020,AUS
1145,ASB Classic,Auckland,New Zealand,Outdoor Hard,ATP,2020-01-13,2020-01-18,2020,NZL
1146,Australian Open,Melbourne,Australia,Outdoor Hard,ATP,2020-01-20,2020-02-03,2020,AUS
1147,Cordoba Open,Cordoba,Argentina,Outdoor Clay,ATP,2020-02-03,2020-02-09,2020,ARG
1148,Open Sud de France,Montpellier,France,Indoor Hard,ATP,2020-02-03,2020-02-09,2020,FRA
1149,Tata Open Maharashtra,Pune,India,Outdoor Hard,ATP,2020-02-03,2020-02-09,2020,IND
